date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:39	119/119	---MC-	200	added ('OK')	text/plain	date:Sat,%2023%20Mar%202024%2009:47:37%20GMT	https://multiutilityuk.com/robots.txt		(from )
11:47:57	267253/267253	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Mar%202024%2009:47:39%20GMT	https://multiutilityuk.com/	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/index.html	(from )
11:48:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2023%20Mar%202024%2009:47:59%20GMT	https://multiutilityuk.com/xmlrpc.php	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/xmlrpc.0.delayed	(from https://multiutilityuk.com/)
11:48:01	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-59546f9f0accb%22	https://multiutilityuk.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-content/plugins/contact-form-7/includes/css/styles1748.css	(from https://multiutilityuk.com/)
11:48:03	1695/1695	---MC-	200	added ('OK')	application/rss+xml	etag:%22201acefa0bf5ce38a934481eaadac97a%22	https://multiutilityuk.com/feed/	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/feed/index.html	(from https://multiutilityuk.com/)
11:48:03	1678/1678	---MC-	200	added ('OK')	application/rss+xml	etag:%228808314ac50fa5519f78a958373b8449%22	https://multiutilityuk.com/comments/feed/	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/comments/feed/index.html	(from https://multiutilityuk.com/)
11:48:04	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5dc17aa55bffb%22	https://multiutilityuk.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://multiutilityuk.com/)
11:48:05	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Mar%202024%2009:48:04%20GMT	http://multiutilityuk.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.3.delayed	(from https://multiutilityuk.com/)
11:48:06	28788/28788	---MC-	200	added ('OK')	application/json	date:Sat,%2023%20Mar%202024%2009:48:04%20GMT	https://multiutilityuk.com/wp-json/wp/v2/pages/28588	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-json/wp/v2/pages/28588.json	(from https://multiutilityuk.com/)
11:48:07	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216994-5dc17aa3a7b83%22	https://multiutilityuk.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://multiutilityuk.com/)
11:48:07	822/822	---MC-	200	added ('OK')	text/xml	date:Sat,%2023%20Mar%202024%2009:48:06%20GMT	https://multiutilityuk.com/xmlrpc.php?rsd	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/xmlrpc0db0.php	(from https://multiutilityuk.com/)
11:48:08	1045/1045	---M--	200	added ('OK')	text/xml	etag:%22415-5831a449a6086%22	https://multiutilityuk.com/wp-includes/wlwmanifest.xml	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-includes/wlwmanifest.xml	(from https://multiutilityuk.com/)
11:48:09	2290/2290	---MC-	200	added ('OK')	application/json	date:Sat,%2023%20Mar%202024%2009:48:07%20GMT	https://multiutilityuk.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmultiutilityuk.com%2F	C:/Users/godefroykiliba/Desktop/ttt/https___multiutilityuk.com_/multiutilityuk.com/wp-json/oembed/1.0/embed65cb.json	(from https://multiutilityuk.com/)
